Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[205/1963] TIC 312259170 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[206/1963] TIC 30329585 (label=0) ... ok | 3/6 sec | 5.9 MB | 5.7 s
[207/1963] TIC 153065527 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 5.7 s
[208/1963] TIC 207110080 (label=1) ... ok | 3/4 sec | 5.8 MB | 5.9 s
[209/1963] TIC 163539739 (label=1) ... ok | 3/6 sec | 5.9 MB | 5.8 s
[210/1963] TIC 383666033 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[211/1963] TIC 394137592 (label=1) ... ok | 3/3 sec | 5.8 MB | 5.7 s
[212/1963] TIC 380517859 (label=0) ... ok | 3/3 sec | 5.9 MB | 5.5 s
[213/1963] TIC 131979339 (label=0) ... ok | 3/4 sec | 5.5 MB | 5.8 s
[214/1963] TIC 97921547 (label=1) ... ok | 2/2 sec | 4.0 MB | 3.8 s
[215/1963] TIC 155044736 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.0 s
[216/1963] TIC 193641523 (label=1) ... ok | 3/7 sec | 6.0 MB | 5.7 s
[217/1963] TIC 230127302 (label=1) ... ok | 3/40 sec | 5.7 MB | 5.9 s
[218/1963] TIC 47484268 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.1 s
[219/1963] TIC 238162973 (label=0) ... ok | 2/2 sec | 3.7 MB | 3.9 s
[220/1963] TIC 341544930 (label=0) ... ok | 3/5 sec | 6.0 MB | 5.5 s
[221/1963] TIC 435673126 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.5 s
[222/1963] TIC 298049015 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.2 s
[223/1963] TIC 184679932 (label=0) ... ok | 3/3 sec | 5.7 MB | 5.6 s
[224/1963] TIC 174328045 (label=1) ... ok | 1/1 sec | 1.9 MB | 2.3 s
[225/1963] TIC 23434737 (label=1) ... ok | 3/7 sec | 5.6 MB | 5.6 s
[226/1963] TIC 302659412 (label=0) ... ok | 3/5 sec | 5.7 MB | 7.3 s
[227/1963] TIC 344085117 (label=0) ... ok | 3/5 sec | 5.7 MB | 5.6 s
[228/1963] TIC 9727392 (label=0) ... ok | 3/5 sec | 5.8 MB | 5.4 s
[229/1963] TIC 238197709 (label=0) ... ok | 3/29 sec | 6.0 MB | 5.6 s
[230/1963] TIC 306648160 (label=1) ... ok | 3/4 sec | 6.0 MB | 5.5 s
[231/1963] TIC 410528770 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.5 s
[232/1963] TIC 686072378 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.0 s
[233/1963] TIC 32408928 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.3 s
[234/1963] TIC 349373192 (label=0) ... ok | 3/3 sec | 6.1 MB | 5.5 s
[235/1963] TIC 95057860 (label=1) ... ok | 2/2 sec | 6.1 MB | 4.0 s
[236/1963] TIC 42123111 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.7 s
[237/1963] TIC 53498154 (label=1) ... Warning: 25% (4801/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 6.0 MB | 6.1 s
[238/1963] TIC 466206508 (label=1) ... ok | 3/4 sec | 5.7 MB | 5.7 s
