Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[1349/1963] TIC 421308357 (label=0) ... ok | 3/8 sec | 6.0 MB | 6.0 s
[1350/1963] TIC 373729723 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.4 s
[1351/1963] TIC 183985250 (label=1) ... ok | 3/4 sec | 5.8 MB | 6.0 s
[1352/1963] TIC 116483514 (label=1) ... ok | 3/7 sec | 5.7 MB | 6.0 s
[1353/1963] TIC 272049972 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1354/1963] TIC 219205407 (label=0) ... ok | 3/5 sec | 5.6 MB | 6.1 s
[1355/1963] TIC 352682207 (label=1) ... ok | 3/4 sec | 5.2 MB | 0.7 s
[1356/1963] TIC 155947004 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.5 s
[1357/1963] TIC 30312676 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/41 sec | 6.0 MB | 10.3 s
[1358/1963] TIC 117689799 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.2 s
[1359/1963] TIC 451599528 (label=0) ... ok | 3/8 sec | 5.9 MB | 6.5 s
[1360/1963] TIC 251209368 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.4 s
[1361/1963] TIC 154293917 (label=1) ... no_data | 0/0 sec | 0.0 MB | 1.8 s
[1362/1963] TIC 453211454 (label=1) ... ok | 3/5 sec | 5.5 MB | 0.7 s
[1363/1963] TIC 26583436 (label=0) ... ok | 3/4 sec | 5.9 MB | 5.9 s
[1364/1963] TIC 220396259 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/10 sec | 5.8 MB | 5.9 s
[1365/1963] TIC 356867115 (label=1) ... ok | 3/39 sec | 5.7 MB | 6.6 s
[1366/1963] TIC 453209605 (label=0) ... ok | 3/4 sec | 5.5 MB | 5.8 s
[1367/1963] TIC 190442486 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.7 s
[1368/1963] TIC 138497780 (label=0) ... ok | 3/6 sec | 5.4 MB | 6.2 s
[1369/1963] TIC 306263608 (label=1) ... ok | 3/6 sec | 5.5 MB | 6.1 s
[1370/1963] TIC 316402246 (label=0) ... no_data | 0/0 sec | 0.0 MB | 6.2 s
[1371/1963] TIC 4918918 (label=1) ... ok | 2/2 sec | 4.0 MB | 29.3 s
[1372/1963] TIC 108835813 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.2 s
[1373/1963] TIC 75878355 (label=1) ... ok | 3/8 sec | 5.7 MB | 8.3 s
[1374/1963] TIC 268372005 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[1375/1963] TIC 289164482 (label=1) ... ok | 3/8 sec | 5.8 MB | 9.1 s
[1376/1963] TIC 406855039 (label=0) ... ok | 3/28 sec | 6.0 MB | 21.7 s
[1377/1963] TIC 173860688 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1378/1963] TIC 378355116 (label=0) ... ok | 3/6 sec | 6.2 MB | 7.5 s
[1379/1963] TIC 449197624 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.4 s
[1380/1963] TIC 172871230 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.7 s
[1381/1963] TIC 220518305 (label=0) ... ok | 3/3 sec | 5.8 MB | 8.2 s
[1382/1963] TIC 41422753 (label=0) ... ok | 3/3 sec | 5.9 MB | 6.8 s
[1383/1963] TIC 232976128 (label=1) ... ok | 3/9 sec | 5.9 MB | 10.4 s
[1384/1963] TIC 368435330 (label=1) ... ok | 2/2 sec | 4.0 MB | 0.5 s
[1385/1963] TIC 69672493 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1386/1963] TIC 90850770 (label=1) ... ok | 3/3 sec | 5.7 MB | 7.6 s
[1387/1963] TIC 441739020 (label=1) ... ok | 3/40 sec | 5.5 MB | 11.2 s
[1388/1963] TIC 262499797 (label=0) ... ok | 3/11 sec | 5.7 MB | 7.3 s
[1389/1963] TIC 141631253 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.2 s
[1390/1963] TIC 320004517 (label=1) ... ok | 3/4 sec | 5.9 MB | 10.6 s
[1391/1963] TIC 259377017 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/7 sec | 5.8 MB | 0.6 s
[1392/1963] TIC 194736418 (label=1) ... ok | 2/2 sec | 3.7 MB | 6.4 s
[1393/1963] TIC 405904232 (label=0) ... ok | 3/9 sec | 5.8 MB | 7.8 s
[1394/1963] TIC 192790476 (label=1) ... ok | 3/6 sec | 5.4 MB | 7.3 s
[1395/1963] TIC 300599466 (label=0) ... ok | 3/20 sec | 5.5 MB | 7.1 s
[1396/1963] TIC 291555748 (label=0) ... ok | 3/3 sec | 5.6 MB | 7.0 s
[1397/1963] TIC 347442932 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[1398/1963] TIC 470852531 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.6 s
[1399/1963] TIC 142090065 (label=0) ... ok | 3/11 sec | 5.6 MB | 6.0 s
[1400/1963] TIC 8260536 (label=1) ... ok | 1/1 sec | 2.0 MB | 0.5 s
[1401/1963] TIC 97158538 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.1 s
[1402/1963] TIC 306547699 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[1403/1963] TIC 312221462 (label=0) ... ok | 3/6 sec | 5.4 MB | 6.7 s
[1404/1963] TIC 391903064 (label=1) ... Warning: 30% (5880/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/43 sec | 6.0 MB | 6.1 s
[1405/1963] TIC 91869778 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.4 s
[1406/1963] TIC 120269103 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.9 s
[1407/1963] TIC 130611752 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.4 s
[1408/1963] TIC 55452495 (label=0) ... ok | 3/5 sec | 5.7 MB | 6.2 s
[1409/1963] TIC 234994474 (label=1) ... ok | 3/4 sec | 5.9 MB | 6.1 s
[1410/1963] TIC 295599256 (label=0) ... ok | 2/2 sec | 3.9 MB | 4.9 s
[1411/1963] TIC 428685938 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1412/1963] TIC 259172249 (label=1) ... ok | 3/16 sec | 6.1 MB | 6.3 s
[1413/1963] TIC 461271719 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.6 s
[1414/1963] TIC 27491137 (label=1) ... Warning: 20% (3715/18126) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.7 MB | 0.7 s
[1415/1963] TIC 259129875 (label=0) ... ok | 3/9 sec | 6.1 MB | 6.8 s
[1416/1963] TIC 268727719 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.0 s
[1417/1963] TIC 271581073 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.9 s
[1418/1963] TIC 370759867 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[1419/1963] TIC 311183180 (label=0) ... ok | 2/2 sec | 3.8 MB | 0.6 s
[1420/1963] TIC 175476629 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[1421/1963] TIC 418959198 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.1 s
[1422/1963] TIC 258402425 (label=0) ... ok | 3/3 sec | 5.8 MB | 5.9 s
[1423/1963] TIC 40055053 (label=1) ... ok | 3/3 sec | 5.9 MB | 5.8 s
[1424/1963] TIC 272050287 (label=0) ... ok | 3/6 sec | 6.2 MB | 5.8 s
[1425/1963] TIC 399956873 (label=0) ... ok | 3/9 sec | 6.0 MB | 6.2 s
[1426/1963] TIC 1976308113 (label=0) ... ok | 3/5 sec | 0.0 MB | 11.3 s
[1427/1963] TIC 200322593 (label=1) ... ok | 3/6 sec | 5.4 MB | 6.7 s
[1428/1963] TIC 150428135 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/37 sec | 5.9 MB | 1.1 s
[1429/1963] TIC 177126182 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.5 s
[1430/1963] TIC 293853437 (label=1) ... ok | 2/2 sec | 3.9 MB | 4.1 s
[1431/1963] TIC 308073360 (label=1) ... ok | 3/3 sec | 5.9 MB | 7.3 s
[1432/1963] TIC 387664866 (label=0) ... ok | 2/2 sec | 3.8 MB | 3.9 s
[1433/1963] TIC 303883880 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.6 s
[1434/1963] TIC 134396419 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.3 s
[1435/1963] TIC 147660201 (label=0) ... ok | 3/3 sec | 5.6 MB | 6.0 s
[1436/1963] TIC 280212554 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.6 s
[1437/1963] TIC 277014266 (label=0) ... ok | 3/6 sec | 6.0 MB | 6.2 s
[1438/1963] TIC 204650483 (label=1) ... ok | 3/3 sec | 5.9 MB | 8.2 s
[1439/1963] TIC 141482386 (label=0) ... ok | 3/12 sec | 5.5 MB | 6.1 s
[1440/1963] TIC 158555987 (label=0) ... ok | 3/10 sec | 6.0 MB | 6.6 s
[1441/1963] TIC 349488688 (label=1) ... Warning: 23% (3838/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.7 MB | 6.1 s
[1442/1963] TIC 417931300 (label=1) ... ok | 3/7 sec | 5.9 MB | 7.1 s
[1443/1963] TIC 362249359 (label=1) ... ok | 3/8 sec | 5.8 MB | 6.2 s
[1444/1963] TIC 282498590 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.3 s
[1445/1963] TIC 200593988 (label=0) ... ok | 3/3 sec | 5.4 MB | 6.8 s
[1446/1963] TIC 31114545 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.8 s
[1447/1963] TIC 187495621 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1448/1963] TIC 445254275 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.4 s
[1449/1963] TIC 269701147 (label=1) ... ok | 3/28 sec | 5.5 MB | 0.8 s
[1450/1963] TIC 219379012 (label=0) ... ok | 2/2 sec | 3.5 MB | 5.2 s
[1451/1963] TIC 31374837 (label=1) ... ok | 3/4 sec | 5.4 MB | 0.7 s
[1452/1963] TIC 164173105 (label=1) ... ok | 3/3 sec | 5.7 MB | 6.3 s
[1453/1963] TIC 449549170 (label=0) ... ok | 3/5 sec | 5.9 MB | 6.3 s
[1454/1963] TIC 158916431 (label=0) ... Warning: 24% (4001/16779) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 5.7 MB | 6.4 s
[1455/1963] TIC 100389539 (label=1) ... ok | 2/2 sec | 4.0 MB | 6.9 s
[1456/1963] TIC 71854732 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.3 s
[1457/1963] TIC 164150539 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.2 s
[1458/1963] TIC 239332587 (label=1) ... ok | 3/7 sec | 6.0 MB | 6.2 s
[1459/1963] TIC 219151731 (label=0) ... no_data | 0/0 sec | 0.0 MB | 10.7 s
[1460/1963] TIC 229650439 (label=1) ... ok | 3/38 sec | 5.7 MB | 0.7 s
[1461/1963] TIC 15247229 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.1 s
[1462/1963] TIC 327210623 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.8 s
[1463/1963] TIC 396740648 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.4 s
[1464/1963] TIC 257060897 (label=1) ... ok | 3/13 sec | 6.0 MB | 6.4 s
[1465/1963] TIC 230127302 (label=1) ... ok | 3/40 sec | 5.7 MB | 0.7 s
[1466/1963] TIC 197650870 (label=0) ... ok | 3/5 sec | 6.1 MB | 7.2 s
[1467/1963] TIC 294283951 (label=0) ... ok | 3/7 sec | 5.8 MB | 7.5 s
[1468/1963] TIC 2041563029 (label=0) ... ok | 1/1 sec | 0.0 MB | 5.4 s
[1469/1963] TIC 1528696 (label=1) ... ok | 3/3 sec | 8.0 MB | 6.3 s
[1470/1963] TIC 258801269 (label=0) ... ok | 3/21 sec | 6.1 MB | 6.6 s
[1471/1963] TIC 400395395 (label=0) ... ok | 2/2 sec | 4.2 MB | 4.6 s
[1472/1963] TIC 70899085 (label=1) ... ok | 2/2 sec | 3.8 MB | 4.6 s
[1473/1963] TIC 367287018 (label=0) ... ok | 3/6 sec | 5.8 MB | 6.1 s
[1474/1963] TIC 427761355 (label=1) ... ok | 3/5 sec | 6.2 MB | 6.2 s
[1475/1963] TIC 123106490 (label=0) ... ok | 2/2 sec | 3.7 MB | 21.6 s
[1476/1963] TIC 258796169 (label=1) ... ok | 3/4 sec | 5.5 MB | 6.0 s
[1477/1963] TIC 269450900 (label=0) ... ok | 2/2 sec | 4.1 MB | 4.3 s
[1478/1963] TIC 219824469 (label=0) ... Warning: 25% (4782/19050) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 2/2 sec | 4.0 MB | 4.1 s
[1479/1963] TIC 418604868 (label=1) ... ok | 2/2 sec | 3.9 MB | 8.3 s
[1480/1963] TIC 81231810 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[1481/1963] TIC 325680697 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.2 s
[1482/1963] TIC 365712006 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.8 s
[1483/1963] TIC 83210867 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.4 s
[1484/1963] TIC 38686737 (label=0) ... ok | 2/2 sec | 3.8 MB | 7.1 s
[1485/1963] TIC 282091493 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.6 s
[1486/1963] TIC 293954617 (label=1) ... ok | 3/12 sec | 5.7 MB | 10.0 s
[1487/1963] TIC 150030205 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/44 sec | 6.0 MB | 2.3 s
[1488/1963] TIC 15827263 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.0 s
[1489/1963] TIC 364395234 (label=1) ... ok | 3/29 sec | 5.8 MB | 9.5 s
[1490/1963] TIC 183120439 (label=1) ... ok | 3/6 sec | 5.7 MB | 9.0 s
[1491/1963] TIC 219467837 (label=0) ... ok | 3/3 sec | 5.9 MB | 8.6 s
[1492/1963] TIC 328081248 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.5 s
[1493/1963] TIC 275384718 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.2 s
[1494/1963] TIC 285666479 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.5 s
[1495/1963] TIC 130181866 (label=1) ... ok | 3/6 sec | 5.5 MB | 2.2 s
[1496/1963] TIC 251848941 (label=1) ... ok | 3/3 sec | 5.8 MB | 2.0 s
[1497/1963] TIC 162802770 (label=1) ... ok | 3/6 sec | 5.6 MB | 9.6 s
[1498/1963] TIC 110936761 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.4 s
[1499/1963] TIC 141412823 (label=0) ... ok | 3/9 sec | 5.7 MB | 8.9 s
[1500/1963] TIC 86451883 (label=0) ... ok | 3/6 sec | 5.9 MB | 9.3 s
[1501/1963] TIC 7548817 (label=1) ... ok | 3/7 sec | 5.8 MB | 8.8 s
[1502/1963] TIC 172376068 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.7 s
[1503/1963] TIC 9837861 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.7 s
[1504/1963] TIC 233541860 (label=0) ... ok | 3/29 sec | 5.7 MB | 7.7 s
[1505/1963] TIC 219239945 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/7 sec | 5.8 MB | 6.5 s
[1506/1963] TIC 419419534 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.7 s
[1507/1963] TIC 114103136 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[1508/1963] TIC 237185205 (label=0) ... ok | 3/6 sec | 5.8 MB | 6.5 s
[1509/1963] TIC 143350972 (label=0) ... ok | 3/3 sec | 5.4 MB | 6.2 s
[1510/1963] TIC 191373021 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.9 s
[1511/1963] TIC 449050248 (label=0) ... ok | 2/2 sec | 6.1 MB | 4.4 s
[1512/1963] TIC 268042363 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.7 s
[1513/1963] TIC 290302097 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.5 s
[1514/1963] TIC 65412605 (label=1) ... ok | 3/5 sec | 5.6 MB | 7.8 s
[1515/1963] TIC 339733013 (label=0) ... ok | 3/9 sec | 5.3 MB | 8.7 s
[1516/1963] TIC 278866211 (label=0) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/25 sec | 6.0 MB | 9.6 s
[1517/1963] TIC 198616607 (label=0) ... ok | 3/7 sec | 5.5 MB | 9.5 s
[1518/1963] TIC 404610583 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.9 s
[1519/1963] TIC 136848581 (label=0) ... ok | 3/6 sec | 6.0 MB | 9.4 s
[1520/1963] TIC 40292751 (label=1) ... ok | 2/2 sec | 3.9 MB | 7.1 s
[1521/1963] TIC 247873937 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.7 s
[1522/1963] TIC 224245334 (label=1) ... ok | 3/3 sec | 5.7 MB | 12.8 s
[1523/1963] TIC 312122956 (label=0) ... ok | 3/5 sec | 5.4 MB | 10.1 s
[1524/1963] TIC 157528286 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.4 s
[1525/1963] TIC 172464366 (label=0) ... ok | 3/3 sec | 5.3 MB | 8.6 s
[1526/1963] TIC 371188886 (label=1) ... ok | 3/7 sec | 5.6 MB | 2.2 s
[1527/1963] TIC 149601126 (label=1) ... ok | 3/27 sec | 5.6 MB | 2.2 s
[1528/1963] TIC 449951606 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.7 s
[1529/1963] TIC 6653897 (label=0) ... ok | 1/1 sec | 1.9 MB | 5.3 s
[1530/1963] TIC 33153766 (label=0) ... ok | 3/4 sec | 5.5 MB | 8.7 s
[1531/1963] TIC 319783554 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1532/1963] TIC 306902029 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.3 s
[1533/1963] TIC 467281353 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.4 s
[1534/1963] TIC 237913194 (label=1) ... ok | 3/6 sec | 5.8 MB | 8.3 s
[1535/1963] TIC 254113311 (label=1) ... ok | 3/3 sec | 5.7 MB | 2.1 s
[1536/1963] TIC 466382581 (label=1) ... ok | 2/2 sec | 3.9 MB | 6.3 s
[1537/1963] TIC 50618703 (label=1) ... ok | 3/3 sec | 7.7 MB | 8.8 s
[1538/1963] TIC 279999655 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1539/1963] TIC 257527578 (label=1) ... ok | 1/1 sec | 1.9 MB | 4.0 s
[1540/1963] TIC 462715015 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.1 s
[1541/1963] TIC 384984325 (label=1) ... ok | 3/3 sec | 5.7 MB | 8.4 s
[1542/1963] TIC 154716798 (label=1) ... ok | 3/9 sec | 5.7 MB | 11.3 s
[1543/1963] TIC 49043968 (label=1) ... ok | 3/4 sec | 5.9 MB | 6.2 s
[1544/1963] TIC 80275202 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.4 s
[1545/1963] TIC 138017750 (label=0) ... ok | 3/3 sec | 5.7 MB | 6.0 s
[1546/1963] TIC 394050135 (label=1) ... ok | 3/13 sec | 5.8 MB | 6.6 s
[1547/1963] TIC 397362481 (label=1) ... ok | 3/5 sec | 6.0 MB | 0.7 s
[1548/1963] TIC 387079085 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1549/1963] TIC 380887434 (label=1) ... ok | 3/3 sec | 5.5 MB | 6.3 s
[1550/1963] TIC 141663464 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1551/1963] TIC 470911286 (label=0) ... ok | 3/3 sec | 5.2 MB | 5.7 s
[1552/1963] TIC 268532343 (label=1) ... no_data | 0/0 sec | 0.0 MB | 1.9 s
[1553/1963] TIC 131081852 (label=0) ... ok | 3/4 sec | 5.8 MB | 6.1 s
[1554/1963] TIC 41227743 (label=0) ... ok | 3/35 sec | 5.9 MB | 6.3 s
[1555/1963] TIC 300013921 (label=0) ... Warning: 30% (5879/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/42 sec | 6.0 MB | 6.4 s
[1556/1963] TIC 289580577 (label=1) ... ok | 3/39 sec | 5.7 MB | 6.3 s
[1557/1963] TIC 5800958 (label=0) ... no_data | 0/0 sec | 0.0 MB | 4.6 s
[1558/1963] TIC 366074069 (label=0) ... ok | 2/2 sec | 3.4 MB | 4.4 s
[1559/1963] TIC 269077474 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.3 s
[1560/1963] TIC 467783290 (label=0) ... ok | 3/4 sec | 5.5 MB | 6.6 s
[1561/1963] TIC 145027461 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1562/1963] TIC 366622912 (label=1) ... ok | 3/6 sec | 5.4 MB | 5.9 s
[1563/1963] TIC 164767175 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/3 sec | 8.0 MB | 0.7 s
[1564/1963] TIC 377165123 (label=0) ... ok | 3/26 sec | 6.0 MB | 6.2 s
[1565/1963] TIC 260043723 (label=0) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/34 sec | 6.0 MB | 22.9 s
[1566/1963] TIC 404456775 (label=1) ... ok | 2/2 sec | 3.7 MB | 4.3 s
[1567/1963] TIC 358072664 (label=0) ... ok | 1/1 sec | 2.1 MB | 2.6 s
[1568/1963] TIC 245509452 (label=1) ... ok | 2/2 sec | 3.9 MB | 4.4 s
[1569/1963] TIC 441765914 (label=1) ... ok | 3/41 sec | 5.7 MB | 6.2 s
[1570/1963] TIC 75878355 (label=1) ... ok | 3/8 sec | 5.7 MB | 0.7 s
[1571/1963] TIC 201248411 (label=1) ... ok | 3/8 sec | 5.9 MB | 6.0 s
[1572/1963] TIC 377290815 (label=0) ... ok | 3/6 sec | 6.0 MB | 6.2 s
[1573/1963] TIC 58474992 (label=0) ... ok | 2/2 sec | 3.6 MB | 4.4 s
[1574/1963] TIC 8967242 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.2 s
[1575/1963] TIC 410214986 (label=1) ... ok | 3/7 sec | 5.7 MB | 6.1 s
[1576/1963] TIC 120896927 (label=1) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.9 MB | 0.8 s
[1577/1963] TIC 461080504 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.3 s
[1578/1963] TIC 330468175 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.8 s
[1579/1963] TIC 59003115 (label=0) ... ok | 3/6 sec | 5.6 MB | 5.9 s
[1580/1963] TIC 10552342 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.0 s
[1581/1963] TIC 189620016 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.3 s
[1582/1963] TIC 263003176 (label=1) ... ok | 3/9 sec | 6.2 MB | 6.1 s
[1583/1963] TIC 333821572 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1584/1963] TIC 129881395 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1585/1963] TIC 393831507 (label=1) ... ok | 1/1 sec | 2.0 MB | 2.5 s
[1586/1963] TIC 467179528 (label=1) ... ok | 3/9 sec | 5.9 MB | 0.7 s
[1587/1963] TIC 172630205 (label=0) ... ok | 1/1 sec | 2.0 MB | 2.6 s
[1588/1963] TIC 431156009 (label=0) ... ok | 3/4 sec | 6.1 MB | 6.5 s
[1589/1963] TIC 159781361 (label=1) ... ok | 3/5 sec | 5.8 MB | 6.1 s
[1590/1963] TIC 470171739 (label=1) ... ok | 3/8 sec | 5.8 MB | 6.1 s
[1591/1963] TIC 294179389 (label=0) ... ok | 3/6 sec | 6.0 MB | 6.0 s
[1592/1963] TIC 284450803 (label=0) ... ok | 3/14 sec | 6.0 MB | 6.2 s
[1593/1963] TIC 339672028 (label=1) ... ok | 3/26 sec | 5.2 MB | 6.5 s
[1594/1963] TIC 364408162 (label=0) ... ok | 3/4 sec | 5.9 MB | 6.1 s
[1595/1963] TIC 384984325 (label=1) ... ok | 3/3 sec | 5.7 MB | 0.8 s
[1596/1963] TIC 309402106 (label=0) ... ok | 3/18 sec | 5.8 MB | 6.4 s
[1597/1963] TIC 425997655 (label=1) ... Warning: 30% (5872/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/15 sec | 6.0 MB | 0.7 s
[1598/1963] TIC 202468443 (label=0) ... ok | 3/3 sec | 6.1 MB | 6.0 s
[1599/1963] TIC 377420580 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.4 s
[1600/1963] TIC 41865539 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.9 s
[1601/1963] TIC 243333538 (label=0) ... ok | 3/22 sec | 6.0 MB | 7.0 s
[1602/1963] TIC 288421619 (label=1) ... ok | 1/1 sec | 1.9 MB | 2.5 s
[1603/1963] TIC 219041246 (label=1) ... ok | 3/5 sec | 5.8 MB | 5.8 s
[1604/1963] TIC 391821647 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/12 sec | 6.0 MB | 6.0 s
[1605/1963] TIC 230127302 (label=1) ... ok | 3/40 sec | 5.7 MB | 0.7 s
[1606/1963] TIC 235678745 (label=1) ... ok | 3/40 sec | 5.7 MB | 0.7 s
[1607/1963] TIC 39699648 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.4 s
[1608/1963] TIC 429295277 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.6 s
[1609/1963] TIC 412257781 (label=0) ... ok | 2/2 sec | 4.0 MB | 4.6 s
[1610/1963] TIC 141227133 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.4 s
[1611/1963] TIC 279741379 (label=1) ... Warning: 30% (5875/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/15 sec | 6.0 MB | 0.8 s
[1612/1963] TIC 300871545 (label=0) ... Warning: 30% (5879/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/29 sec | 6.0 MB | 6.5 s
[1613/1963] TIC 387413037 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.6 s
[1614/1963] TIC 29191624 (label=1) ... ok | 2/2 sec | 4.0 MB | 4.3 s
[1615/1963] TIC 348673213 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.4 s
[1616/1963] TIC 348054109 (label=0) ... ok | 3/5 sec | 5.7 MB | 6.0 s
